date,open,high,low,close,volume,ma50,ma200
2026-01-12 10:30:00,6.9,6.91,6.89,6.9,1231000,6.902200000000001,
2026-01-12 10:35:00,6.9,6.9,6.88,6.89,1462200,6.8998,
2026-01-12 10:40:00,6.89,6.89,6.87,6.89,1609800,6.8978,
2026-01-12 10:45:00,6.88,6.89,6.88,6.88,488900,6.8952,
2026-01-12 10:50:00,6.89,6.89,6.87,6.88,1350800,6.892799999999999,
2026-01-12 10:55:00,6.88,6.89,6.87,6.88,695600,6.8912,
2026-01-12 11:00:00,6.89,6.89,6.87,6.88,1093900,6.889600000000001,
2026-01-12 11:05:00,6.88,6.88,6.86,6.86,2336000,6.8877999999999995,
2026-01-12 11:10:00,6.86,6.88,6.86,6.88,810500,6.8864,
2026-01-12 11:15:00,6.88,6.89,6.87,6.89,764400,6.8862,
2026-01-12 11:20:00,6.89,6.9,6.88,6.89,680300,6.8862,
2026-01-12 11:25:00,6.89,6.91,6.89,6.91,718000,6.8862,
2026-01-12 11:30:00,6.9,6.91,6.89,6.91,533600,6.8866,
2026-01-12 13:05:00,6.91,6.94,6.9,6.94,1525600,6.8877999999999995,
2026-01-12 13:10:00,6.94,6.96,6.93,6.95,1882600,6.8892,
2026-01-12 13:15:00,6.94,6.98,6.93,6.93,2268400,6.8904,
2026-01-12 13:20:00,6.94,6.95,6.91,6.95,1302900,6.8918,
2026-01-12 13:25:00,6.94,6.96,6.91,6.92,1227600,6.8926,
2026-01-12 13:30:00,6.92,6.94,6.91,6.92,942200,6.8938,
2026-01-12 13:35:00,6.92,6.93,6.91,6.92,554800,6.894799999999999,
2026-01-12 13:40:00,6.92,6.93,6.91,6.92,322800,6.8953999999999995,
2026-01-12 13:45:00,6.91,6.93,6.91,6.93,349100,6.896599999999999,
2026-01-12 13:50:00,6.93,6.94,6.92,6.92,500200,6.8976,
2026-01-12 13:55:00,6.92,6.93,6.92,6.93,393700,6.8988,
2026-01-12 14:00:00,6.92,6.93,6.92,6.93,214800,6.9,
2026-01-12 14:05:00,6.93,6.95,6.93,6.95,976500,6.901800000000001,
2026-01-12 14:10:00,6.95,6.95,6.92,6.93,892700,6.9030000000000005,
2026-01-12 14:15:00,6.93,6.95,6.93,6.95,725600,6.9048,
2026-01-12 14:20:00,6.94,6.95,6.92,6.92,1171500,6.905999999999999,
2026-01-12 14:25:00,6.92,6.93,6.91,6.91,749600,6.907,
2026-01-12 14:30:00,6.92,6.92,6.91,6.92,928700,6.908200000000001,
2026-01-12 14:35:00,6.91,6.93,6.91,6.91,1161100,6.9088,
2026-01-12 14:40:00,6.92,6.92,6.9,6.92,1210300,6.9096,
2026-01-12 14:45:00,6.92,6.92,6.9,6.91,1143000,6.910400000000001,
2026-01-12 14:50:00,6.91,6.92,6.9,6.91,1189700,6.9110000000000005,
2026-01-12 14:55:00,6.92,6.92,6.9,6.91,1626200,6.9118,
2026-01-12 15:00:00,6.91,6.92,6.91,6.92,1999200,6.912999999999999,
2026-01-13 09:35:00,6.92,6.93,6.81,6.82,5107500,6.9118,
2026-01-13 09:40:00,6.83,6.83,6.75,6.8,4680100,6.910399999999999,
2026-01-13 09:45:00,6.8,6.88,6.8,6.87,4257000,6.910399999999999,
2026-01-13 09:50:00,6.88,6.91,6.86,6.88,2552300,6.910799999999999,
2026-01-13 09:55:00,6.88,6.89,6.84,6.85,1457600,6.9102,
2026-01-13 10:00:00,6.85,6.91,6.85,6.9,1643000,6.909599999999999,
2026-01-13 10:05:00,6.9,6.91,6.87,6.91,1049900,6.9088,
2026-01-13 10:10:00,6.91,6.91,6.87,6.87,826000,6.9064,
2026-01-13 10:15:00,6.87,6.89,6.85,6.85,1047300,6.9041999999999994,
2026-01-13 10:20:00,6.85,6.86,6.83,6.83,969000,6.902200000000001,
2026-01-13 10:25:00,6.84,6.85,6.82,6.85,840700,6.900399999999999,
2026-01-13 10:30:00,6.84,6.87,6.83,6.87,859900,6.899399999999999,
2026-01-13 10:35:00,6.87,6.87,6.82,6.82,948300,6.8976,
2026-01-13 10:40:00,6.82,6.88,6.82,6.86,1006100,6.8968,
2026-01-13 10:45:00,6.87,6.89,6.85,6.88,488200,6.896599999999999,
2026-01-13 10:50:00,6.87,6.89,6.87,6.89,397000,6.896599999999999,
2026-01-13 10:55:00,6.88,6.9,6.88,6.89,782100,6.896800000000001,
2026-01-13 11:00:00,6.89,6.89,6.87,6.88,921400,6.896800000000001,
2026-01-13 11:05:00,6.88,6.89,6.86,6.89,476700,6.897,
2026-01-13 11:10:00,6.89,6.92,6.89,6.92,1950000,6.897800000000001,
2026-01-13 11:15:00,6.93,6.93,6.91,6.91,639900,6.8988,
2026-01-13 11:20:00,6.91,6.92,6.91,6.91,618600,6.899400000000001,
2026-01-13 11:25:00,6.92,6.92,6.89,6.89,632600,6.899399999999999,
2026-01-13 11:30:00,6.89,6.9,6.88,6.89,359500,6.899399999999999,
2026-01-13 13:05:00,6.89,6.91,6.88,6.89,705500,6.899000000000001,
2026-01-13 13:10:00,6.9,6.9,6.86,6.87,701400,6.898199999999999,
2026-01-13 13:15:00,6.87,6.87,6.85,6.86,1038900,6.896599999999999,
2026-01-13 13:20:00,6.86,6.87,6.85,6.85,573200,6.8946000000000005,
2026-01-13 13:25:00,6.85,6.86,6.83,6.83,1145100,6.8926,
2026-01-13 13:30:00,6.83,6.85,6.83,6.85,535500,6.890600000000001,
2026-01-13 13:35:00,6.84,6.86,6.82,6.82,786700,6.8886,
2026-01-13 13:40:00,6.82,6.84,6.82,6.83,487000,6.886799999999999,
2026-01-13 13:45:00,6.84,6.85,6.83,6.84,372700,6.885200000000001,
2026-01-13 13:50:00,6.84,6.85,6.83,6.84,530300,6.8836,
2026-01-13 13:55:00,6.83,6.85,6.83,6.85,602400,6.882000000000001,
2026-01-13 14:00:00,6.85,6.86,6.84,6.85,338500,6.880599999999999,
2026-01-13 14:05:00,6.84,6.85,6.82,6.83,813600,6.878599999999999,
2026-01-13 14:10:00,6.82,6.83,6.79,6.8,2060500,6.876,
2026-01-13 14:15:00,6.8,6.8,6.79,6.8,669300,6.872999999999999,
2026-01-13 14:20:00,6.8,6.81,6.79,6.8,838400,6.8704,
2026-01-13 14:25:00,6.81,6.81,6.79,6.8,582200,6.8674,
2026-01-13 14:30:00,6.8,6.8,6.77,6.78,1305900,6.8646,
2026-01-13 14:35:00,6.77,6.78,6.76,6.76,1541100,6.861599999999999,
2026-01-13 14:40:00,6.76,6.76,6.74,6.74,2286300,6.858,
2026-01-13 14:45:00,6.74,6.76,6.73,6.75,1741900,6.8548,
2026-01-13 14:50:00,6.75,6.75,6.73,6.74,1291600,6.8512,
2026-01-13 14:55:00,6.74,6.76,6.74,6.76,1402500,6.848199999999999,
2026-01-13 15:00:00,6.77,6.77,6.75,6.76,1792700,6.8452,
2026-01-14 09:35:00,6.84,6.95,6.81,6.93,10206300,6.845599999999999,
2026-01-14 09:40:00,6.93,6.94,6.87,6.88,2471900,6.8448,
2026-01-14 09:45:00,6.88,6.91,6.87,6.9,1510700,6.8464,
2026-01-14 09:50:00,6.89,6.91,6.88,6.88,1277200,6.848000000000001,
2026-01-14 09:55:00,6.9,6.92,6.87,6.87,2237200,6.848000000000001,
2026-01-14 10:00:00,6.87,6.91,6.86,6.9,1012700,6.848400000000001,
2026-01-14 10:05:00,6.91,6.97,6.91,6.96,4974000,6.850599999999999,
2026-01-14 10:10:00,6.97,7.01,6.96,7.01,5572600,6.852800000000001,
